X,Y,OBJECTID,FACILITY_NAME,FACILITY_NAME_LABEL,LABEL,COMPANY,TYPE,ADDRESS,FRD_DRAW_SYMBOL,JURISDICTION,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
-77.1776483432866,38.9316607869653,1,MCLEAN,Fire Station 1 - McLean,401,1,Station,"1455 Laughlin Avenue, McLean, VA 22101",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.261452143503,38.8991069115818,2,VIENNA,Fire Station 2 - Vienna,402,2,Station,"400 Center Street SW, Vienna, VA 22180",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.3058031192152,38.8436518365325,3,FAIRFAX CITY SOUTH,Fire Station 3 - City of Fairfax,403,3,Station,"4081 University Drive, Fairfax, VA 22030",2,City of Fairfax,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.3859482669853,38.9690891293123,4,HERNDON,Fire Station 4 - Herndon,404,4,Station,"680 Spring Street, Herndon, VA 20170",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.146354319948,38.7806654066622,5,FRANCONIA,Fire Station 5 - Franconia,405,5,Station,"6300 Beulah Street, Alexandria, VA 22310",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1917247790889,38.8325291125047,6,ANNANDALE,Fire Station 8 - Annandale,408,8,Station,"7128 Columbia Pike, Annandale, VA 22003",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.0773580416409,38.7427693966341,7,MOUNT VERNON,Fire Station 9 - Mount Vernon,409,9,Station,"2601 Sherwood Hall Lane, Alexandria, VA 22306",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1393118348108,38.8454872527018,8,BAILEY'S CROSSROADS,Fire Station 10 - Bailey's Crossroads,410,10,Station,"3601 Firehouse Lane, Falls Church, VA 22041",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.0794463403167,38.7730475465307,9,PENN DAW,Fire Station 11 - Penn Daw,411,11,Station,"6624 Hulvey Terrace, Alexandria, VA 22306",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2909399214757,38.9987104215429,10,GREAT FALLS,Fire Station 12 - Great Falls,412,12,Station,"9916 Georgetown Pike, Great Falls, VA 22066",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2236660681233,38.9025210149728,11,DUNN LORING,Fire Station 13 - Dunn Loring,413,13,Station,"2148 Gallows Road, Dunn Loring, VA 22027",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2719436845924,38.7932065483702,12,BURKE,Fire Station 14 - Burke,414,14,Station,"9501 Old Burke Lake Road, Burke, VA 22015",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.4315784221288,38.8919145472646,13,CHANTILLY,Fire Station 15 - Chantilly,415,15,Station,"14005 Vernon Street, Chantilly, VA 20151",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.3847863011269,38.7809099553765,14,CLIFTON,Fire Station 16 - Clifton,416,16,Station,"12645 Chapel Road, Clifton, VA 20124",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.4299165680274,38.8369783588162,15,CENTREVILLE,Fire Station 17 - Centreville,417,17,Station,"5856 Old Centreville Road, Centreville, VA 20121",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1928398574875,38.8658036249387,16,JEFFERSON,Fire Station 18 - Jefferson,418,18,Station,"3101 Hodge Place, Falls Church, VA 22042",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2105657337155,38.7030454354705,17,LORTON,Fire Station 19 - Lorton,419,19,Station,"7702 Pohick River Drive, Lorton, VA 22079",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1941734002316,38.6735314202338,18,GUNSTON,Fire Station 20 - Gunston,420,20,Station,"10417 Gunston Road, Lorton, VA 22079",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.3706126781893,38.8713250473584,19,FAIR OAKS,Fire Station 21 - Fair Oaks,421,21,Station,"12300 Lee Jackson Memorial Highway, Fairfax, VA 22033",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1839459297898,38.7657865756951,20,SPRINGFIELD,Fire Station 22 - Springfield,422,22,Station,"7011 Backlick Road, Springfield, VA 22150",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2519384464863,38.8391398402518,21,WEST ANNANDALE,Fire Station 23 - West Annandale,423,23,Station,"8914 Little River Turnpike, Fairfax, VA 22031",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1193635055444,38.7217554142379,22,WOODLAWN,Fire Station 24 - Woodlawn,424,24,Station,"8701 Lukens Lane, Alexandria, VA 22309",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.3359323473878,38.9509214009213,23,RESTON,Fire Station 25 - Reston,425,25,Station,"1820 Wiehle Avenue, Reston, VA 20190",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1711150026338,38.8050575428537,24,EDSALL ROAD,Fire Station 26 - Edsall Road,426,26,Station,"5316 Carolina Place, Springfield, VA 22151",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.2374168100562,38.7836174609545,25,WEST SPRINGFIELD,Fire Station 27 - West Springfield,427,27,Station,"6140 Rolling Road, Springfield, VA 22152",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
-77.1567280895283,38.8704074044947,26,SEVEN CORNERS,Fire Station 28 - Seven Corners,428,28,Station,"2949 Sleepy Hollow Road, Falls Church, VA 22044",1,Fairfax County,FairfaxCounty,2021/04/17 05:03:44.804+00,FairfaxCounty,2021/04/17 05:03:44.804+00
